image,label,label_id
data\raw\food-101\images\pad_thai\1311742.jpg,pad_thai,69
data\raw\food-101\images\spring_rolls\1249911.jpg,spring_rolls,91
data\raw\food-101\images\beet_salad\1690865.jpg,beet_salad,5
data\raw\food-101\images\donuts\921183.jpg,donuts,30
data\raw\food-101\images\gnocchi\2662243.jpg,gnocchi,46
data\raw\food-101\images\churros\680069.jpg,churros,22
data\raw\food-101\images\hot_dog\595968.jpg,hot_dog,54
data\raw\food-101\images\tacos\2352451.jpg,tacos,95
data\raw\food-101\images\spaghetti_carbonara\221557.jpg,spaghetti_carbonara,90
data\raw\food-101\images\cheesecake\936503.jpg,cheesecake,16
data\raw\food-101\images\sashimi\2393661.jpg,sashimi,85
data\raw\food-101\images\garlic_bread\535037.jpg,garlic_bread,45
data\raw\food-101\images\french_fries\1290860.jpg,french_fries,39
data\raw\food-101\images\macarons\1773286.jpg,macarons,62
data\raw\food-101\images\filet_mignon\1721136.jpg,filet_mignon,36
data\raw\food-101\images\gyoza\2872559.jpg,gyoza,51
data\raw\food-101\images\pulled_pork_sandwich\2401760.jpg,pulled_pork_sandwich,79
data\raw\food-101\images\hot_and_sour_soup\1511731.jpg,hot_and_sour_soup,53
data\raw\food-101\images\pad_thai\381993.jpg,pad_thai,69
data\raw\food-101\images\french_onion_soup\1577682.jpg,french_onion_soup,40
data\raw\food-101\images\falafel\3886287.jpg,falafel,35
data\raw\food-101\images\panna_cotta\2916029.jpg,panna_cotta,72
data\raw\food-101\images\club_sandwich\486128.jpg,club_sandwich,24
data\raw\food-101\images\sashimi\2576562.jpg,sashimi,85
data\raw\food-101\images\scallops\3876434.jpg,scallops,86
data\raw\food-101\images\cannoli\3755265.jpg,cannoli,11
data\raw\food-101\images\hot_dog\3844876.jpg,hot_dog,54
data\raw\food-101\images\strawberry_shortcake\48362.jpg,strawberry_shortcake,93
data\raw\food-101\images\deviled_eggs\800464.jpg,deviled_eggs,29
data\raw\food-101\images\shrimp_and_grits\3331918.jpg,shrimp_and_grits,88
data\raw\food-101\images\falafel\3409904.jpg,falafel,35
data\raw\food-101\images\chicken_wings\2407158.jpg,chicken_wings,19
data\raw\food-101\images\breakfast_burrito\718810.jpg,breakfast_burrito,9
data\raw\food-101\images\creme_brulee\3858602.jpg,creme_brulee,26
data\raw\food-101\images\ice_cream\2120757.jpg,ice_cream,57
data\raw\food-101\images\ramen\4978.jpg,ramen,80
data\raw\food-101\images\spaghetti_bolognese\1901501.jpg,spaghetti_bolognese,89
data\raw\food-101\images\tuna_tartare\3134727.jpg,tuna_tartare,98
data\raw\food-101\images\gyoza\780693.jpg,gyoza,51
data\raw\food-101\images\bread_pudding\1714006.jpg,bread_pudding,8
data\raw\food-101\images\waffles\869731.jpg,waffles,99
data\raw\food-101\images\french_fries\3620996.jpg,french_fries,39
data\raw\food-101\images\french_onion_soup\2915262.jpg,french_onion_soup,40
data\raw\food-101\images\macarons\1568811.jpg,macarons,62
data\raw\food-101\images\miso_soup\2045704.jpg,miso_soup,63
data\raw\food-101\images\pancakes\1250631.jpg,pancakes,71
data\raw\food-101\images\macaroni_and_cheese\3155068.jpg,macaroni_and_cheese,61
data\raw\food-101\images\risotto\94799.jpg,risotto,83
data\raw\food-101\images\cannoli\800555.jpg,cannoli,11
data\raw\food-101\images\garlic_bread\2028045.jpg,garlic_bread,45
data\raw\food-101\images\pizza\139952.jpg,pizza,75
data\raw\food-101\images\garlic_bread\1498092.jpg,garlic_bread,45
data\raw\food-101\images\ice_cream\2286883.jpg,ice_cream,57
data\raw\food-101\images\macarons\1867454.jpg,macarons,62
data\raw\food-101\images\croque_madame\195657.jpg,croque_madame,27
data\raw\food-101\images\pulled_pork_sandwich\3842306.jpg,pulled_pork_sandwich,79
data\raw\food-101\images\beef_carpaccio\3034764.jpg,beef_carpaccio,3
data\raw\food-101\images\scallops\1353659.jpg,scallops,86
data\raw\food-101\images\falafel\58810.jpg,falafel,35
data\raw\food-101\images\french_fries\1692647.jpg,french_fries,39
data\raw\food-101\images\miso_soup\1129470.jpg,miso_soup,63
data\raw\food-101\images\creme_brulee\482191.jpg,creme_brulee,26
data\raw\food-101\images\edamame\929699.jpg,edamame,32
data\raw\food-101\images\grilled_cheese_sandwich\659934.jpg,grilled_cheese_sandwich,48
data\raw\food-101\images\fried_rice\2523524.jpg,fried_rice,43
data\raw\food-101\images\tacos\1495230.jpg,tacos,95
data\raw\food-101\images\bruschetta\901110.jpg,bruschetta,10
data\raw\food-101\images\shrimp_and_grits\201211.jpg,shrimp_and_grits,88
data\raw\food-101\images\hummus\2461166.jpg,hummus,56
data\raw\food-101\images\deviled_eggs\3574492.jpg,deviled_eggs,29
data\raw\food-101\images\breakfast_burrito\3120769.jpg,breakfast_burrito,9
data\raw\food-101\images\panna_cotta\2828821.jpg,panna_cotta,72
data\raw\food-101\images\gnocchi\2446260.jpg,gnocchi,46
data\raw\food-101\images\foie_gras\3566611.jpg,foie_gras,38
data\raw\food-101\images\churros\2422038.jpg,churros,22
data\raw\food-101\images\prime_rib\3545527.jpg,prime_rib,78
data\raw\food-101\images\french_fries\82946.jpg,french_fries,39
data\raw\food-101\images\deviled_eggs\748514.jpg,deviled_eggs,29
data\raw\food-101\images\beignets\3846275.jpg,beignets,6
data\raw\food-101\images\steak\477486.jpg,steak,92
data\raw\food-101\images\poutine\3398634.jpg,poutine,77
data\raw\food-101\images\edamame\579614.jpg,edamame,32
data\raw\food-101\images\baklava\2254091.jpg,baklava,2
data\raw\food-101\images\scallops\3652671.jpg,scallops,86
data\raw\food-101\images\poutine\1572175.jpg,poutine,77
data\raw\food-101\images\hot_and_sour_soup\3551753.jpg,hot_and_sour_soup,53
data\raw\food-101\images\nachos\2847727.jpg,nachos,65
data\raw\food-101\images\bruschetta\190768.jpg,bruschetta,10
data\raw\food-101\images\donuts\3828220.jpg,donuts,30
data\raw\food-101\images\pork_chop\2275110.jpg,pork_chop,76
data\raw\food-101\images\baby_back_ribs\2344248.jpg,baby_back_ribs,1
data\raw\food-101\images\ramen\1954604.jpg,ramen,80
data\raw\food-101\images\shrimp_and_grits\1319430.jpg,shrimp_and_grits,88
data\raw\food-101\images\spaghetti_bolognese\665886.jpg,spaghetti_bolognese,89
data\raw\food-101\images\macaroni_and_cheese\755189.jpg,macaroni_and_cheese,61
data\raw\food-101\images\lobster_roll_sandwich\2332377.jpg,lobster_roll_sandwich,60
data\raw\food-101\images\prime_rib\859424.jpg,prime_rib,78
data\raw\food-101\images\gyoza\1489527.jpg,gyoza,51
data\raw\food-101\images\ice_cream\2068301.jpg,ice_cream,57
data\raw\food-101\images\oysters\1891977.jpg,oysters,68
data\raw\food-101\images\garlic_bread\1297346.jpg,garlic_bread,45
data\raw\food-101\images\red_velvet_cake\2740636.jpg,red_velvet_cake,82
data\raw\food-101\images\pizza\2742044.jpg,pizza,75
data\raw\food-101\images\eggs_benedict\644603.jpg,eggs_benedict,33
data\raw\food-101\images\cheesecake\1632762.jpg,cheesecake,16
data\raw\food-101\images\baklava\3834345.jpg,baklava,2
data\raw\food-101\images\fish_and_chips\1503402.jpg,fish_and_chips,37
data\raw\food-101\images\foie_gras\3220689.jpg,foie_gras,38
data\raw\food-101\images\cup_cakes\3061699.jpg,cup_cakes,28
data\raw\food-101\images\hot_and_sour_soup\2364496.jpg,hot_and_sour_soup,53
data\raw\food-101\images\beef_carpaccio\1415166.jpg,beef_carpaccio,3
data\raw\food-101\images\guacamole\549385.jpg,guacamole,50
data\raw\food-101\images\miso_soup\2775242.jpg,miso_soup,63
data\raw\food-101\images\bread_pudding\1100392.jpg,bread_pudding,8
data\raw\food-101\images\gyoza\3893579.jpg,gyoza,51
data\raw\food-101\images\sashimi\988502.jpg,sashimi,85
data\raw\food-101\images\strawberry_shortcake\1640574.jpg,strawberry_shortcake,93
data\raw\food-101\images\apple_pie\2713820.jpg,apple_pie,0
data\raw\food-101\images\nachos\1537772.jpg,nachos,65
data\raw\food-101\images\macarons\2160709.jpg,macarons,62
data\raw\food-101\images\nachos\2378586.jpg,nachos,65
data\raw\food-101\images\pork_chop\2560651.jpg,pork_chop,76
data\raw\food-101\images\takoyaki\736144.jpg,takoyaki,96
data\raw\food-101\images\strawberry_shortcake\2330400.jpg,strawberry_shortcake,93
data\raw\food-101\images\oysters\696560.jpg,oysters,68
data\raw\food-101\images\fish_and_chips\2853767.jpg,fish_and_chips,37
data\raw\food-101\images\pho\2463328.jpg,pho,74
data\raw\food-101\images\french_fries\3223668.jpg,french_fries,39
data\raw\food-101\images\frozen_yogurt\362869.jpg,frozen_yogurt,44
data\raw\food-101\images\falafel\326406.jpg,falafel,35
data\raw\food-101\images\grilled_cheese_sandwich\91131.jpg,grilled_cheese_sandwich,48
data\raw\food-101\images\bruschetta\2618539.jpg,bruschetta,10
data\raw\food-101\images\oysters\1719514.jpg,oysters,68
data\raw\food-101\images\omelette\2558218.jpg,omelette,66
data\raw\food-101\images\caprese_salad\2424478.jpg,caprese_salad,12
data\raw\food-101\images\bread_pudding\635343.jpg,bread_pudding,8
data\raw\food-101\images\shrimp_and_grits\2304119.jpg,shrimp_and_grits,88
data\raw\food-101\images\grilled_cheese_sandwich\485233.jpg,grilled_cheese_sandwich,48
data\raw\food-101\images\risotto\14240.jpg,risotto,83
data\raw\food-101\images\fried_rice\1657193.jpg,fried_rice,43
data\raw\food-101\images\creme_brulee\2174903.jpg,creme_brulee,26
data\raw\food-101\images\deviled_eggs\3264294.jpg,deviled_eggs,29
data\raw\food-101\images\club_sandwich\674170.jpg,club_sandwich,24
data\raw\food-101\images\baby_back_ribs\3049417.jpg,baby_back_ribs,1
data\raw\food-101\images\crab_cakes\2078014.jpg,crab_cakes,25
data\raw\food-101\images\cannoli\2411577.jpg,cannoli,11
data\raw\food-101\images\omelette\3415929.jpg,omelette,66
data\raw\food-101\images\fried_rice\2284461.jpg,fried_rice,43
data\raw\food-101\images\french_toast\105172.jpg,french_toast,41
data\raw\food-101\images\escargots\1859108.jpg,escargots,34
data\raw\food-101\images\french_toast\352239.jpg,french_toast,41
data\raw\food-101\images\falafel\1237271.jpg,falafel,35
data\raw\food-101\images\french_fries\3307428.jpg,french_fries,39
data\raw\food-101\images\spring_rolls\3421413.jpg,spring_rolls,91
data\raw\food-101\images\oysters\3157650.jpg,oysters,68
data\raw\food-101\images\waffles\1215857.jpg,waffles,99
data\raw\food-101\images\spaghetti_bolognese\856866.jpg,spaghetti_bolognese,89
data\raw\food-101\images\donuts\346428.jpg,donuts,30
data\raw\food-101\images\caprese_salad\1132373.jpg,caprese_salad,12
data\raw\food-101\images\tacos\17688.jpg,tacos,95
data\raw\food-101\images\gyoza\541643.jpg,gyoza,51
data\raw\food-101\images\french_fries\669183.jpg,french_fries,39
data\raw\food-101\images\cheese_plate\654994.jpg,cheese_plate,15
data\raw\food-101\images\ceviche\380180.jpg,ceviche,14
data\raw\food-101\images\strawberry_shortcake\3843129.jpg,strawberry_shortcake,93
data\raw\food-101\images\eggs_benedict\3662623.jpg,eggs_benedict,33
data\raw\food-101\images\carrot_cake\1234940.jpg,carrot_cake,13
data\raw\food-101\images\fish_and_chips\885620.jpg,fish_and_chips,37
data\raw\food-101\images\foie_gras\1066602.jpg,foie_gras,38
data\raw\food-101\images\edamame\1442496.jpg,edamame,32
data\raw\food-101\images\pho\762252.jpg,pho,74
data\raw\food-101\images\ice_cream\2275897.jpg,ice_cream,57
data\raw\food-101\images\sashimi\564762.jpg,sashimi,85
data\raw\food-101\images\caprese_salad\3276821.jpg,caprese_salad,12
data\raw\food-101\images\risotto\536167.jpg,risotto,83
data\raw\food-101\images\grilled_cheese_sandwich\2782537.jpg,grilled_cheese_sandwich,48
data\raw\food-101\images\bread_pudding\2325206.jpg,bread_pudding,8
data\raw\food-101\images\bread_pudding\1403708.jpg,bread_pudding,8
data\raw\food-101\images\chicken_wings\1135413.jpg,chicken_wings,19
data\raw\food-101\images\poutine\2906562.jpg,poutine,77
data\raw\food-101\images\shrimp_and_grits\3840587.jpg,shrimp_and_grits,88
data\raw\food-101\images\caprese_salad\3917386.jpg,caprese_salad,12
data\raw\food-101\images\chicken_wings\1432425.jpg,chicken_wings,19
data\raw\food-101\images\ceviche\1014769.jpg,ceviche,14
data\raw\food-101\images\seaweed_salad\2856499.jpg,seaweed_salad,87
data\raw\food-101\images\fish_and_chips\2919201.jpg,fish_and_chips,37
data\raw\food-101\images\cup_cakes\1437964.jpg,cup_cakes,28
data\raw\food-101\images\club_sandwich\2947942.jpg,club_sandwich,24
data\raw\food-101\images\hummus\90847.jpg,hummus,56
data\raw\food-101\images\nachos\1030667.jpg,nachos,65
data\raw\food-101\images\waffles\3135867.jpg,waffles,99
data\raw\food-101\images\carrot_cake\3359372.jpg,carrot_cake,13
data\raw\food-101\images\huevos_rancheros\3516346.jpg,huevos_rancheros,55
data\raw\food-101\images\donuts\2349280.jpg,donuts,30
data\raw\food-101\images\baklava\476091.jpg,baklava,2
data\raw\food-101\images\breakfast_burrito\2840993.jpg,breakfast_burrito,9
data\raw\food-101\images\spaghetti_carbonara\738871.jpg,spaghetti_carbonara,90
data\raw\food-101\images\edamame\1378606.jpg,edamame,32
data\raw\food-101\images\sushi\2378406.jpg,sushi,94
data\raw\food-101\images\gnocchi\1613715.jpg,gnocchi,46
data\raw\food-101\images\strawberry_shortcake\3712227.jpg,strawberry_shortcake,93
data\raw\food-101\images\poutine\585354.jpg,poutine,77
data\raw\food-101\images\grilled_cheese_sandwich\289512.jpg,grilled_cheese_sandwich,48
data\raw\food-101\images\beet_salad\3430085.jpg,beet_salad,5
data\raw\food-101\images\french_fries\3070998.jpg,french_fries,39
data\raw\food-101\images\pulled_pork_sandwich\1993557.jpg,pulled_pork_sandwich,79
data\raw\food-101\images\steak\1530833.jpg,steak,92
data\raw\food-101\images\falafel\2032021.jpg,falafel,35
data\raw\food-101\images\eggs_benedict\2593546.jpg,eggs_benedict,33
data\raw\food-101\images\red_velvet_cake\1678201.jpg,red_velvet_cake,82
data\raw\food-101\images\tiramisu\2786037.jpg,tiramisu,97
data\raw\food-101\images\breakfast_burrito\2435224.jpg,breakfast_burrito,9
data\raw\food-101\images\chocolate_cake\2584547.jpg,chocolate_cake,20
data\raw\food-101\images\hummus\1415909.jpg,hummus,56
data\raw\food-101\images\onion_rings\3645851.jpg,onion_rings,67
data\raw\food-101\images\hot_and_sour_soup\3701540.jpg,hot_and_sour_soup,53
data\raw\food-101\images\creme_brulee\2418653.jpg,creme_brulee,26
data\raw\food-101\images\eggs_benedict\3596887.jpg,eggs_benedict,33
data\raw\food-101\images\pad_thai\1981040.jpg,pad_thai,69
data\raw\food-101\images\pork_chop\1373236.jpg,pork_chop,76
data\raw\food-101\images\onion_rings\3773120.jpg,onion_rings,67
data\raw\food-101\images\chocolate_mousse\2924493.jpg,chocolate_mousse,21
data\raw\food-101\images\chocolate_cake\619975.jpg,chocolate_cake,20
data\raw\food-101\images\oysters\3730334.jpg,oysters,68
data\raw\food-101\images\tacos\2601855.jpg,tacos,95
data\raw\food-101\images\carrot_cake\2135547.jpg,carrot_cake,13
data\raw\food-101\images\macarons\70950.jpg,macarons,62
data\raw\food-101\images\hot_dog\462004.jpg,hot_dog,54
data\raw\food-101\images\scallops\108674.jpg,scallops,86
data\raw\food-101\images\chicken_curry\3408176.jpg,chicken_curry,17
data\raw\food-101\images\tacos\504895.jpg,tacos,95
data\raw\food-101\images\cheesecake\1280675.jpg,cheesecake,16
data\raw\food-101\images\eggs_benedict\3579084.jpg,eggs_benedict,33
data\raw\food-101\images\crab_cakes\3222022.jpg,crab_cakes,25
data\raw\food-101\images\breakfast_burrito\3486949.jpg,breakfast_burrito,9
data\raw\food-101\images\ramen\2968505.jpg,ramen,80
data\raw\food-101\images\lobster_bisque\3088114.jpg,lobster_bisque,59
data\raw\food-101\images\spring_rolls\1590814.jpg,spring_rolls,91
data\raw\food-101\images\hummus\2788843.jpg,hummus,56
data\raw\food-101\images\hot_dog\1190833.jpg,hot_dog,54
data\raw\food-101\images\nachos\3452057.jpg,nachos,65
data\raw\food-101\images\garlic_bread\3091626.jpg,garlic_bread,45
data\raw\food-101\images\bread_pudding\1141748.jpg,bread_pudding,8
data\raw\food-101\images\cheesecake\1123723.jpg,cheesecake,16
data\raw\food-101\images\tiramisu\206668.jpg,tiramisu,97
data\raw\food-101\images\bruschetta\142836.jpg,bruschetta,10
data\raw\food-101\images\creme_brulee\2132100.jpg,creme_brulee,26
data\raw\food-101\images\ravioli\3056460.jpg,ravioli,81
data\raw\food-101\images\croque_madame\441162.jpg,croque_madame,27
data\raw\food-101\images\peking_duck\2926971.jpg,peking_duck,73
data\raw\food-101\images\onion_rings\328681.jpg,onion_rings,67
data\raw\food-101\images\nachos\1253611.jpg,nachos,65
data\raw\food-101\images\chocolate_mousse\341402.jpg,chocolate_mousse,21
data\raw\food-101\images\french_toast\3087401.jpg,french_toast,41
data\raw\food-101\images\chocolate_cake\17530.jpg,chocolate_cake,20
data\raw\food-101\images\fried_rice\139328.jpg,fried_rice,43
data\raw\food-101\images\beef_carpaccio\1578151.jpg,beef_carpaccio,3
data\raw\food-101\images\steak\3352834.jpg,steak,92
data\raw\food-101\images\panna_cotta\3221739.jpg,panna_cotta,72
data\raw\food-101\images\ice_cream\275352.jpg,ice_cream,57
data\raw\food-101\images\dumplings\1343111.jpg,dumplings,31
data\raw\food-101\images\hamburger\629268.jpg,hamburger,52
data\raw\food-101\images\fried_rice\2158503.jpg,fried_rice,43
data\raw\food-101\images\grilled_salmon\793302.jpg,grilled_salmon,49
data\raw\food-101\images\churros\1957429.jpg,churros,22
data\raw\food-101\images\chocolate_cake\3592680.jpg,chocolate_cake,20
data\raw\food-101\images\pulled_pork_sandwich\1625899.jpg,pulled_pork_sandwich,79
data\raw\food-101\images\french_fries\3784230.jpg,french_fries,39
data\raw\food-101\images\hamburger\1718036.jpg,hamburger,52
data\raw\food-101\images\pulled_pork_sandwich\1120743.jpg,pulled_pork_sandwich,79
data\raw\food-101\images\poutine\848180.jpg,poutine,77
data\raw\food-101\images\seaweed_salad\257005.jpg,seaweed_salad,87
data\raw\food-101\images\scallops\1627910.jpg,scallops,86
data\raw\food-101\images\shrimp_and_grits\1868750.jpg,shrimp_and_grits,88
data\raw\food-101\images\shrimp_and_grits\3549027.jpg,shrimp_and_grits,88
data\raw\food-101\images\beef_tartare\2921620.jpg,beef_tartare,4
data\raw\food-101\images\hamburger\1889072.jpg,hamburger,52
data\raw\food-101\images\carrot_cake\1364523.jpg,carrot_cake,13
data\raw\food-101\images\baby_back_ribs\2901249.jpg,baby_back_ribs,1
data\raw\food-101\images\mussels\3061808.jpg,mussels,64
data\raw\food-101\images\caprese_salad\2042313.jpg,caprese_salad,12
data\raw\food-101\images\nachos\3516518.jpg,nachos,65
data\raw\food-101\images\spaghetti_carbonara\1342098.jpg,spaghetti_carbonara,90
data\raw\food-101\images\garlic_bread\3764866.jpg,garlic_bread,45
data\raw\food-101\images\greek_salad\3118078.jpg,greek_salad,47
data\raw\food-101\images\cup_cakes\3325702.jpg,cup_cakes,28
data\raw\food-101\images\macaroni_and_cheese\3049955.jpg,macaroni_and_cheese,61
data\raw\food-101\images\churros\2059542.jpg,churros,22
data\raw\food-101\images\hot_and_sour_soup\1059163.jpg,hot_and_sour_soup,53
data\raw\food-101\images\nachos\1825283.jpg,nachos,65
data\raw\food-101\images\hot_and_sour_soup\1170364.jpg,hot_and_sour_soup,53
data\raw\food-101\images\foie_gras\2985546.jpg,foie_gras,38
data\raw\food-101\images\macarons\3420095.jpg,macarons,62
data\raw\food-101\images\grilled_cheese_sandwich\987731.jpg,grilled_cheese_sandwich,48
data\raw\food-101\images\pizza\338838.jpg,pizza,75
data\raw\food-101\images\cheese_plate\3548719.jpg,cheese_plate,15
data\raw\food-101\images\pizza\1987634.jpg,pizza,75
data\raw\food-101\images\prime_rib\807839.jpg,prime_rib,78
data\raw\food-101\images\cheese_plate\2804358.jpg,cheese_plate,15
data\raw\food-101\images\gnocchi\399141.jpg,gnocchi,46
data\raw\food-101\images\tacos\337973.jpg,tacos,95
data\raw\food-101\images\edamame\1151957.jpg,edamame,32
data\raw\food-101\images\fried_rice\2427442.jpg,fried_rice,43
data\raw\food-101\images\pizza\2640502.jpg,pizza,75
data\raw\food-101\images\french_toast\2626075.jpg,french_toast,41
data\raw\food-101\images\french_fries\1081387.jpg,french_fries,39
data\raw\food-101\images\hot_and_sour_soup\3373395.jpg,hot_and_sour_soup,53
data\raw\food-101\images\edamame\2081068.jpg,edamame,32
data\raw\food-101\images\mussels\1655994.jpg,mussels,64
data\raw\food-101\images\club_sandwich\3112950.jpg,club_sandwich,24
data\raw\food-101\images\omelette\3770588.jpg,omelette,66
data\raw\food-101\images\oysters\3739922.jpg,oysters,68
data\raw\food-101\images\filet_mignon\468365.jpg,filet_mignon,36
data\raw\food-101\images\french_toast\1684932.jpg,french_toast,41
data\raw\food-101\images\onion_rings\2632322.jpg,onion_rings,67
data\raw\food-101\images\pork_chop\3081030.jpg,pork_chop,76
data\raw\food-101\images\hot_and_sour_soup\3470297.jpg,hot_and_sour_soup,53
data\raw\food-101\images\churros\3052940.jpg,churros,22
data\raw\food-101\images\cannoli\487953.jpg,cannoli,11
data\raw\food-101\images\ceviche\2930789.jpg,ceviche,14
data\raw\food-101\images\deviled_eggs\158786.jpg,deviled_eggs,29
data\raw\food-101\images\bibimbap\562370.jpg,bibimbap,7
data\raw\food-101\images\grilled_cheese_sandwich\942468.jpg,grilled_cheese_sandwich,48
data\raw\food-101\images\chocolate_mousse\3096217.jpg,chocolate_mousse,21
data\raw\food-101\images\clam_chowder\2331875.jpg,clam_chowder,23
data\raw\food-101\images\spaghetti_bolognese\3411892.jpg,spaghetti_bolognese,89
data\raw\food-101\images\onion_rings\251402.jpg,onion_rings,67
data\raw\food-101\images\red_velvet_cake\667564.jpg,red_velvet_cake,82
data\raw\food-101\images\tuna_tartare\306745.jpg,tuna_tartare,98
data\raw\food-101\images\pad_thai\2773769.jpg,pad_thai,69
data\raw\food-101\images\grilled_salmon\1323597.jpg,grilled_salmon,49
data\raw\food-101\images\onion_rings\1207488.jpg,onion_rings,67
data\raw\food-101\images\onion_rings\2693799.jpg,onion_rings,67
data\raw\food-101\images\hummus\820283.jpg,hummus,56
data\raw\food-101\images\garlic_bread\1790082.jpg,garlic_bread,45
data\raw\food-101\images\hot_and_sour_soup\149080.jpg,hot_and_sour_soup,53
data\raw\food-101\images\oysters\3101663.jpg,oysters,68
data\raw\food-101\images\deviled_eggs\201243.jpg,deviled_eggs,29
data\raw\food-101\images\pizza\765799.jpg,pizza,75
data\raw\food-101\images\ramen\209186.jpg,ramen,80
data\raw\food-101\images\risotto\2433266.jpg,risotto,83
data\raw\food-101\images\breakfast_burrito\1201413.jpg,breakfast_burrito,9
data\raw\food-101\images\pizza\1895182.jpg,pizza,75
data\raw\food-101\images\crab_cakes\1800722.jpg,crab_cakes,25
data\raw\food-101\images\sushi\3896322.jpg,sushi,94
data\raw\food-101\images\carrot_cake\2507726.jpg,carrot_cake,13
data\raw\food-101\images\oysters\2759585.jpg,oysters,68
data\raw\food-101\images\shrimp_and_grits\975549.jpg,shrimp_and_grits,88
data\raw\food-101\images\beet_salad\747449.jpg,beet_salad,5
data\raw\food-101\images\filet_mignon\2031698.jpg,filet_mignon,36
data\raw\food-101\images\steak\2088030.jpg,steak,92
data\raw\food-101\images\donuts\1981582.jpg,donuts,30
data\raw\food-101\images\guacamole\2256233.jpg,guacamole,50
data\raw\food-101\images\spaghetti_bolognese\794313.jpg,spaghetti_bolognese,89
data\raw\food-101\images\ravioli\3752743.jpg,ravioli,81
data\raw\food-101\images\falafel\1309907.jpg,falafel,35
data\raw\food-101\images\chicken_wings\1102767.jpg,chicken_wings,19
data\raw\food-101\images\risotto\1894271.jpg,risotto,83
data\raw\food-101\images\french_onion_soup\2370937.jpg,french_onion_soup,40
data\raw\food-101\images\french_fries\2385210.jpg,french_fries,39
data\raw\food-101\images\escargots\2309869.jpg,escargots,34
data\raw\food-101\images\lasagna\1309796.jpg,lasagna,58
data\raw\food-101\images\shrimp_and_grits\3712659.jpg,shrimp_and_grits,88
data\raw\food-101\images\deviled_eggs\1486281.jpg,deviled_eggs,29
data\raw\food-101\images\bread_pudding\2650951.jpg,bread_pudding,8
data\raw\food-101\images\tacos\537588.jpg,tacos,95
data\raw\food-101\images\beef_tartare\3834990.jpg,beef_tartare,4
